item_num,ele1,description,fabrication_id,item_size,inventory_type,season,season_yr,prod_line,sbu_id,ats,avail_date,warehouse_id,inv_status,cc_sort,company,item_image,item_description_long,commodity,commodity_description,item_num_display,wholesale,msrp,landed_cost,compute_0025,latest_receipt_date,body_number,image_file_path,ele2,ele3,ele4,ele5,item_class,collection_group_code,description
104PACKA, ,,,N    ,S,S ,2023,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\104PACKA.JPG,104 PACK A,TABLECLOTH,TABLECLOTH,104PACKA,4.25,0,2.45,A,,4PAC,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,DISC      ,DISCONTINUED
104PACKB, ,,,N    ,S,S ,2023,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\104PACKB.JPG,104 PACK B,TABLECLOTH,TABLECLOTH,104PACKB,4.25,0,2.45,A,,4PAC,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,DISC      ,DISCONTINUED
104PACKC, ,,,N    ,S,S ,2023,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\104PACKC.JPG,104 PACK C,TABLECLOTH,TABLECLOTH,104PACKC,4.25,0,2.45,A,,4PAC,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,DISC      ,DISCONTINUED
104PACKDD, ,,,N    ,S,S ,2024,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\104PACKDD.JPG,ASST 104 INCH TABLECLOTH - PACK DD,TABLECLOTH,TABLECLOTH,104PACKDD,0,0,2.45,A,,4PAC,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,IN/OUT    ,IN/OUT TC
104PACKEE, ,,,N    ,S,S ,2024,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\104PACKEE.JPG,ASST 104 INCH TABLECLOTH - PACK EE,TABLECLOTH,TABLECLOTH,104PACKEE,0,0,2.45,A,,4PAC,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,IN/OUT    ,IN/OUT TC
104PACKFF, ,,,N    ,S,S ,2024,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\104PACKFF.JPG,ASST 104 INCH TABLECLOTH - PACK FF,TABLECLOTH,TABLECLOTH,104PACKFF,0,0,2.45,A,,4PAC,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,IN/OUT    ,IN/OUT TC
84PACKA, ,,,N    ,S,S ,2023,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\84PACKA.JPG,84 PACK A,TABLECLOTH,TABLECLOTH,84PACKA,4.25,0,2.45,A,,PACK,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,DISC      ,DISCONTINUED
84PACKAA, ,,,N    ,S,S ,2024,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\84PACKAA.JPG,ASST 84 INCH TABLECLOTH - PACK AA,TABLECLOTH,TABLECLOTH,84PACKAA,0,0,2.03,A,,PACK,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,IN/OUT    ,IN/OUT TC
84PACKB, ,,,N    ,S,S ,2023,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\84PACKB.JPG,84 PACK B,TABLECLOTH,TABLECLOTH,84PACKB,4.25,0,2.45,A,,PACK,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,DISC      ,DISCONTINUED
84PACKBB, ,,,N    ,S,S ,2024,BUR ,CDL,-3500,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\84PACKBB.JPG,ASST 84 INCH TABLECLOTH - PACK BB,TABLECLOTH,TABLECLOTH,84PACKBB,0,0,2.03,A,,PACK,\\SVR-GA-FS2\IMAGES\COLORDRIFT\, , , , ,FG  ,IN/OUT    ,IN/OUT TC
